g1.t1	ENSP00000497018.1
g10309.t1	ENSP00000497748.1
g10314.t1	ENSP00000297316.4
g10315.t1	ENSP00000297316.4
g10318.t1	ENSP00000359258.3
g10319.t1	ENSP00000390691.2
g10321.t1	ENSP00000399441.1
g10323.t1	ENSP00000215539.3
g10324.t1	ENSP00000379865.3
g10325.t1	ENSP00000379865.3
g10328.t1	ENSP00000290552.8
g10336.t1	ENSP00000264279.5
g10337.t1	ENSP00000368079.4
g10338.t1	ENSP00000367770.4
g10339.t1	ENSP00000256578.4
g10342.t1	ENSP00000385931.1
g10343.t1	ENSP00000369991.3
g10344.t1	ENSP00000339090.4
g10345.t1	ENSP00000342656.3
g10346.t1	ENSP00000338624.4
g10347.t1	ENSP00000450076.1
g10349.t1	ENSP00000304895.4
g10350.t1	ENSP00000245255.3
g10351.t1	ENSP00000363092.5
g10352.t1	ENSP00000496551.1
g10354.t1	ENSP00000216297.2
g10355.t1	ENSP00000362469.3
g10356.t1	ENSP00000273480.3
g10357.t1	ENSP00000367686.3
g10358.t1	ENSP00000331465.7
g10359.t1	ENSP00000512779.1
g10361.t1	ENSP00000506122.1
g10362.t1	ENSP00000219345.5
g10363.t1	ENSP00000326379.2
g10364.t1	ENSP00000269919.3
g10365.t1	ENSP00000378330.2
g10366.t1	ENSP00000368455.1
g10368.t1	ENSP00000503975.1
g10371.t1	ENSP00000429200.1
g10374.t1	ENSP00000352678.4
g10375.t1	ENSP00000498803.1
g10376.t1	ENSP00000265277.5
g10381.t1	ENSP00000360966.4
g10383.t1	ENSP00000398882.1
g10384.t1	ENSP00000463677.1
g10385.t1	ENSP00000380242.2
g10386.t1	ENSP00000373600.3
g10387.t1	ENSP00000245544.4
g1039.t1	ENSP00000392947.2
g10390.t1	ENSP00000256496.3
g10391.t1	ENSP00000263384.6
g10393.t1	ENSP00000472530.1
g10394.t1	ENSP00000385722.3
g10395.t1	ENSP00000265148.3
g10396.t1	ENSP00000221494.3
g10397.t1	ENSP00000346015.5
g10398.t1	ENSP00000289371.5
g10399.t1	ENSP00000351318.2
g1040.t1	ENSP00000423094.2
g10400.t1	ENSP00000345434.5
g10401.t1	ENSP00000434081.2
g10402.t1	ENSP00000317790.6
g10403.t1	ENSP00000273062.2
g10404.t1	ENSP00000339435.5
g10409.t1	ENSP00000312262.5
g10410.t1	ENSP00000302728.4
g10411.t1	ENSP00000317159.4
g10412.t1	ENSP00000279068.5
g10413.t1	ENSP00000296522.6
g10414.t1	ENSP00000296522.6
g10415.t1	ENSP00000296522.6
g10416.t1	ENSP00000293303.4
g10417.t1	ENSP00000423785.1
g10419.t1	ENSP00000388311.1
g1042.t1	ENSP00000174618.4
g10423.t1	ENSP00000291182.3
g10424.t1	ENSP00000346348.3
g10429.t1	ENSP00000323880.4
g10430.t1	ENSP00000262445.5
g10431.t1	ENSP00000245539.6
g10432.t1	ENSP00000384141.3
g10433.t1	ENSP00000384945.3
g10434.t1	ENSP00000351777.6
g10435.t1	ENSP00000301072.7
g10436.t1	ENSP00000261245.4
g10438.t1	ENSP00000450787.2
g10439.t1	ENSP00000300093.4
g10442.t1	ENSP00000417003.2
g10443.t1	ENSP00000287482.5
g10444.t1	ENSP00000300441.4
g1047.t1	ENSP00000361064.4
g10475.t1	ENSP00000261615.4
g10477.t1	ENSP00000242317.4
g10478.t1	ENSP00000326570.4
g10479.t1	ENSP00000284031.8
g1048.t1	ENSP00000315602.5
g10480.t1	ENSP00000262461.2
g10481.t1	ENSP00000454828.1
g10482.t1	ENSP00000429890.1
g10483.t1	ENSP00000452223.1
g10484.t1	ENSP00000447730.1
g10486.t1	ENSP00000387128.1
g10489.t1	ENSP00000306881.6
g1049.t1	ENSP00000490365.1
g10490.t1	ENSP00000335632.5
g10491.t1	ENSP00000341538.4
g10492.t1	ENSP00000483576.1
g10493.t1	ENSP00000366672.4
g10494.t1	ENSP00000437169.2
g10495.t1	ENSP00000368009.1
g10496.t1	ENSP00000392642.1
g10498.t1	ENSP00000362527.5
g10501.t1	ENSP00000314606.6
g10502.t1	ENSP00000268261.4
g10503.t1	ENSP00000360577.4
g10505.t1	ENSP00000343445.5
g10506.t1	ENSP00000478647.1
g10507.t1	ENSP00000336994.4
g10508.t1	ENSP00000315700.4
g10509.t1	ENSP00000301072.7
g10510.t1	ENSP00000362329.2
g10511.t1	ENSP00000494022.1
g10512.t1	ENSP00000361042.3
g10513.t1	ENSP00000444792.2
g10514.t1	ENSP00000478272.1
g10515.t1	ENSP00000513715.1
g10516.t1	ENSP00000264669.5
g10518.t1	ENSP00000331369.5
g10519.t1	ENSP00000219320.3
g10520.t1	ENSP00000328287.6
g10521.t1	ENSP00000394369.1
g10523.t1	ENSP00000347198.3
g10525.t1	ENSP00000339016.2
g10526.t1	ENSP00000509861.1
g10528.t1	ENSP00000333769.3
g10530.t1	ENSP00000455004.2
g10533.t1	ENSP00000261308.4
g10534.t1	ENSP00000271373.4
g10536.t1	ENSP00000299759.6
g10537.t1	ENSP00000361686.3
g1054.t1	ENSP00000453448.3
g10543.t1	ENSP00000362804.4
g10544.t1	ENSP00000496503.2
g10545.t1	ENSP00000498543.1
g10546.t1	ENSP00000445899.1
g10547.t1	ENSP00000390167.2
g10548.t1	ENSP00000339952.4
g10549.t1	ENSP00000344103.4
g1055.t1	ENSP00000356357.4
g10550.t1	ENSP00000262294.7
g10551.t1	ENSP00000483508.1
g10552.t1	ENSP00000341346.2
g10553.t1	ENSP00000325677.6
g10555.t1	ENSP00000357669.3
g10556.t1	ENSP00000418842.3
g10557.t1	ENSP00000216038.5
g10558.t1	ENSP00000355317.3
g10559.t1	ENSP00000268206.7
g10563.t1	ENSP00000268206.7
g10564.t1	ENSP00000278353.4
g10567.t1	ENSP00000292363.3
g10568.t1	ENSP00000408994.1
g1057.t1	ENSP00000385255.3
g10570.t1	ENSP00000283109.3
g10571.t1	ENSP00000267814.9
g10573.t1	ENSP00000441355.1
g10574.t1	ENSP00000393241.2
g10576.t1	ENSP00000358450.3
g10579.t1	ENSP00000216281.8
g1058.t1	ENSP00000344521.3
g10580.t1	ENSP00000346762.3
g10581.t1	ENSP00000235090.5
g10582.t1	ENSP00000382880.3
g10587.t1	ENSP00000416293.2
g10589.t1	ENSP00000292035.5
g10590.t1	ENSP00000296684.5
g10591.t1	ENSP00000502318.1
g10592.t1	ENSP00000424603.1
g10594.t1	ENSP00000365851.3
g10595.t1	ENSP00000366032.3
g10596.t1	ENSP00000366032.3
g10597.t1	ENSP00000365851.3
g10599.t1	ENSP00000424603.1
g106.t1	ENSP00000317980.8
g10600.t1	ENSP00000502318.1
g10601.t1	ENSP00000296684.5
g10603.t1	ENSP00000398597.1
g10604.t1	ENSP00000442132.1
g10605.t1	ENSP00000377428.2
g10606.t1	ENSP00000495394.1
g10607.t1	ENSP00000286485.8
g10608.t1	ENSP00000507112.1
g10609.t1	ENSP00000428070.1
g10610.t1	ENSP00000505937.1
g10611.t1	ENSP00000378163.2
g10612.t1	ENSP00000347433.4
g10613.t1	ENSP00000253247.4
g10614.t1	ENSP00000268379.4
g10615.t1	ENSP00000228437.5
g10616.t1	ENSP00000301587.4
g10617.t1	ENSP00000402515.3
g10618.t1	ENSP00000348498.3
g10619.t1	ENSP00000428205.1
g10620.t1	ENSP00000007390.2
g10623.t1	ENSP00000261615.4
g10624.t1	ENSP00000405088.2
g10625.t1	ENSP00000368887.3
g10626.t1	ENSP00000451281.2
g10627.t1	ENSP00000353098.3
g10629.t1	ENSP00000331103.5
g10630.t1	ENSP00000235521.4
g10631.t1	ENSP00000358059.3
g10633.t1	ENSP00000269228.4
g10634.t1	ENSP00000357402.1
g10635.t1	ENSP00000317379.3
g10636.t1	ENSP00000361596.4
g10637.t1	ENSP00000433871.1
g10638.t1	ENSP00000490346.1
g10639.t1	ENSP00000250699.2
g1064.t1	ENSP00000516687.1
g10640.t1	ENSP00000473990.2
g10646.t1	ENSP00000481466.1
g10647.t1	ENSP00000332448.2
g10648.t1	ENSP00000504673.1
g10649.t1	ENSP00000427401.3
g10650.t1	ENSP00000470034.1
g10651.t1	ENSP00000374357.4
g10652.t1	ENSP00000359544.5
g10653.t1	ENSP00000242783.7
g10654.t1	ENSP00000317851.7
g10655.t1	ENSP00000397441.2
g10656.t1	ENSP00000379621.2
g10657.t1	ENSP00000468439.1
g10658.t1	ENSP00000359837.3
g10659.t1	ENSP00000281273.4
g10660.t1	ENSP00000425658.1
g10661.t1	ENSP00000515984.1
g10662.t1	ENSP00000404334.1
g10664.t1	ENSP00000413521.1
g10668.t1	ENSP00000426400.1
g10669.t1	ENSP00000381150.2
g1067.t1	ENSP00000375875.4
g10670.t1	ENSP00000429065.1
g10671.t1	ENSP00000367284.4
g10672.t1	ENSP00000508171.1
g10675.t1	ENSP00000238667.4
g10678.t1	ENSP00000357844.4
g10679.t1	ENSP00000358283.4
g10680.t1	ENSP00000454404.1
g10682.t1	ENSP00000282466.3
g10683.t1	ENSP00000352401.6
g10684.t1	ENSP00000354812.5
g10685.t1	ENSP00000355051.4
g10686.t1	ENSP00000491797.1
g10687.t1	ENSP00000356978.4
g10688.t1	ENSP00000376142.2
g10690.t1	ENSP00000323763.5
g10691.t1	ENSP00000388340.2
g10692.t1	ENSP00000370589.3
g10693.t1	ENSP00000357851.5
g10694.t1	ENSP00000326693.6
g10696.t1	ENSP00000296921.5
g10697.t1	ENSP00000358154.1
g10698.t1	ENSP00000481343.1
g10699.t1	ENSP00000366618.2
g1070.t1	ENSP00000416845.2
g10700.t1	ENSP00000481343.1
g10701.t1	ENSP00000373730.3
g10702.t1	ENSP00000358151.2
g10703.t1	ENSP00000344504.2
g10704.t1	ENSP00000366157.4
g10705.t1	ENSP00000387180.2
g10706.t1	ENSP00000437772.1
g10707.t1	ENSP00000489687.1
g10708.t1	ENSP00000400949.2
g10709.t1	ENSP00000483655.1
g1071.t1	ENSP00000381111.4
g10710.t1	ENSP00000489324.1
g10711.t1	ENSP00000303511.8
g10712.t1	ENSP00000441013.1
g10713.t1	ENSP00000268182.5
g10715.t1	ENSP00000315351.4
g10716.t1	ENSP00000420271.1
g10718.t1	ENSP00000344718.5
g10719.t1	ENSP00000314792.7
g10720.t1	ENSP00000499322.1
g10721.t1	ENSP00000366708.1
g10723.t1	ENSP00000416508.1
g10724.t1	ENSP00000444555.1
g10725.t1	ENSP00000265316.3
g10726.t1	ENSP00000379964.2
g10727.t1	ENSP00000377474.1
g10728.t1	ENSP00000345528.5
g10731.t1	ENSP00000209873.4
g10732.t1	ENSP00000507306.1
g10733.t1	ENSP00000360593.3
g10735.t1	ENSP00000463727.1
g10736.t1	ENSP00000166534.4
g10737.t1	ENSP00000225171.2
g1074.t1	ENSP00000261647.5
g10741.t1	ENSP00000405635.3
g10742.t1	ENSP00000362532.4
g10744.t1	ENSP00000331720.7
g10745.t1	ENSP00000480279.1
g10748.t1	ENSP00000425355.1
g10749.t1	ENSP00000262352.3
g1075.t1	ENSP00000363809.3
g10750.t1	ENSP00000267229.7
g10751.t1	ENSP00000334594.8
g10752.t1	ENSP00000402084.2
g10753.t1	ENSP00000222008.5
g10754.t1	ENSP00000435797.1
g10755.t1	ENSP00000468633.1
g10758.t1	ENSP00000360560.4
g10759.t1	ENSP00000417499.1
g1076.t1	ENSP00000483069.1
g10760.t1	ENSP00000261758.4
g10761.t1	ENSP00000389383.1
g10762.t1	ENSP00000318912.3
g10763.t1	ENSP00000493592.1
g10766.t1	ENSP00000360964.4
g10768.t1	ENSP00000365046.4
g10769.t1	ENSP00000230510.3
g1077.t1	ENSP00000240651.9
g10770.t1	ENSP00000328854.1
g10771.t1	ENSP00000466910.1
g10772.t1	ENSP00000356853.4
g10773.t1	ENSP00000362344.2
g10774.t1	ENSP00000277531.4
g10775.t1	ENSP00000260506.8
g10776.t1	ENSP00000413745.2
g10778.t1	ENSP00000334642.5
g10779.t1	ENSP00000434466.1
g1078.t1	ENSP00000259873.4
g10780.t1	ENSP00000511964.1
g10781.t1	ENSP00000363746.4
g10782.t1	ENSP00000385784.1
g10783.t1	ENSP00000444384.2
g10785.t1	ENSP00000287394.5
g10786.t1	ENSP00000287394.5
g10787.t1	ENSP00000367299.3
g10788.t1	ENSP00000463216.2
g10789.t1	ENSP00000360367.5
g1079.t1	ENSP00000365694.2
g10791.t1	ENSP00000500834.1
g10792.t1	ENSP00000356989.3
g10793.t1	ENSP00000347672.2
g10794.t1	ENSP00000383984.3
g10795.t1	ENSP00000215882.5
g10796.t1	ENSP00000381003.2
g10797.t1	ENSP00000387180.2
g10798.t1	ENSP00000502491.1
g10799.t1	ENSP00000482315.1
g108.t1	ENSP00000471464.1
g10800.t1	ENSP00000499044.1
g10801.t1	ENSP00000361992.1
g10802.t1	ENSP00000383321.2
g10804.t1	ENSP00000349696.4
g10805.t1	ENSP00000354580.2
g10806.t1	ENSP00000227155.4
g10807.t1	ENSP00000463099.1
g10808.t1	ENSP00000441219.1
g10810.t1	ENSP00000378976.2
g10811.t1	ENSP00000406653.1
g10816.t1	ENSP00000417846.1
g10817.t1	ENSP00000337463.6
g10818.t1	ENSP00000337463.6
g10819.t1	ENSP00000337463.6
g1082.t1	ENSP00000356515.3
g10820.t1	ENSP00000319730.6
g10821.t1	ENSP00000450864.1
g10822.t1	ENSP00000366395.3
g10823.t1	ENSP00000355090.3
g10824.t1	ENSP00000312606.4
g10825.t1	ENSP00000216122.3
g10827.t1	ENSP00000328773.3
g10828.t1	ENSP00000506685.1
g10829.t1	ENSP00000483183.1
g1083.t1	ENSP00000350765.3
g10830.t1	ENSP00000455674.1
g10831.t1	ENSP00000335304.4
g10832.t1	ENSP00000261303.8
g10834.t1	ENSP00000366828.4
g10835.t1	ENSP00000371859.2
g10839.t1	ENSP00000298198.4
g1084.t1	ENSP00000377494.2
g10840.t1	ENSP00000335247.6
g10841.t1	ENSP00000263208.5
g10843.t1	ENSP00000317376.4
g10844.t1	ENSP00000478695.1
g10845.t1	ENSP00000317376.4
g10847.t1	ENSP00000263208.5
g10848.t1	ENSP00000335247.6
g10849.t1	ENSP00000298198.4
g1085.t1	ENSP00000382250.2
g10852.t1	ENSP00000359300.3
g10853.t1	ENSP00000427792.1
g10854.t1	ENSP00000374046.3
g10855.t1	ENSP00000055163.7
g10856.t1	ENSP00000311130.6
g10857.t1	ENSP00000257934.4
g10858.t1	ENSP00000356903.4
g10859.t1	ENSP00000298316.5
g1086.t1	ENSP00000216027.3
g10860.t1	ENSP00000307666.5
g10862.t1	ENSP00000304803.5
g10863.t1	ENSP00000241600.5
g10864.t1	ENSP00000451882.1
g10868.t1	ENSP00000481177.1
g10869.t1	ENSP00000222982.4
g1087.t1	ENSP00000370201.4
g10872.t1	ENSP00000356444.1
g10874.t1	ENSP00000262233.7
g10875.t1	ENSP00000393081.1
g10876.t1	ENSP00000501776.1
g10879.t1	ENSP00000393963.2
g1088.t1	ENSP00000271526.4
g10880.t1	ENSP00000265044.2
g10881.t1	ENSP00000294129.2
g10882.t1	ENSP00000334229.4
g10886.t1	ENSP00000414887.2
g10888.t1	ENSP00000370870.2
g10889.t1	ENSP00000375977.2
g1089.t1	ENSP00000284879.8
g10890.t1	ENSP00000406322.2
g10892.t1	ENSP00000297283.3
g10893.t1	ENSP00000377235.2
g10894.t1	ENSP00000346955.6
g10895.t1	ENSP00000296292.3
g10896.t1	ENSP00000473439.1
g10897.t1	ENSP00000309477.5
g10898.t1	ENSP00000367835.3
g10899.t1	ENSP00000342502.6
g109.t1	ENSP00000230124.4
g10900.t1	ENSP00000505396.1
g10901.t1	ENSP00000398107.2
g10902.t1	ENSP00000334474.5
g10903.t1	ENSP00000290607.7
g10906.t1	ENSP00000259154.2
g10907.t1	ENSP00000309163.3
g10908.t1	ENSP00000384823.4
g1091.t1	ENSP00000470231.1
g10910.t1	ENSP00000357073.1
g10913.t1	ENSP00000256379.5
g10914.t1	ENSP00000300289.5
g10915.t1	ENSP00000337131.4
g10916.t1	ENSP00000365944.4
g10917.t1	ENSP00000334003.5
g10918.t1	ENSP00000361540.1
g10919.t1	ENSP00000380820.1
g10920.t1	ENSP00000336739.3
g10921.t1	ENSP00000356546.6
g10922.t1	ENSP00000515848.1
g10923.t1	ENSP00000347858.3
g10925.t1	ENSP00000440543.2
g10926.t1	ENSP00000257575.4
g10927.t1	ENSP00000313422.7
g10928.t1	ENSP00000226253.4
g10929.t1	ENSP00000496166.1
g10932.t1	ENSP00000431651.1
g10933.t1	ENSP00000386752.1
g10935.t1	ENSP00000516139.1
g10937.t1	ENSP00000494589.1
g10939.t1	ENSP00000477929.1
g1094.t1	ENSP00000297332.10
g10941.t1	ENSP00000357883.4
g10942.t1	ENSP00000316983.7
g10948.t1	ENSP00000297375.4
g1095.t1	ENSP00000378926.2
g10950.t1	ENSP00000262794.5
g10951.t1	ENSP00000503596.1
g10952.t1	ENSP00000338788.6
g10953.t1	ENSP00000356134.4
g10955.t1	ENSP00000487907.1
g10956.t1	ENSP00000360784.2
g10959.t1	ENSP00000238558.3
g10961.t1	ENSP00000258145.3
g10962.t1	ENSP00000262027.5
g10964.t1	ENSP00000433933.1
g10968.t1	ENSP00000252137.6
g10972.t1	ENSP00000500313.1
g10973.t1	ENSP00000238146.3
g10974.t1	ENSP00000455004.2
g10976.t1	ENSP00000282251.5
g10977.t1	ENSP00000002125.4
g10978.t1	ENSP00000505101.1
g10980.t1	ENSP00000265963.4
g10982.t1	ENSP00000511846.1
g10983.t1	ENSP00000323302.3
g10984.t1	ENSP00000429366.1
g10988.t1	ENSP00000317842.5
g10989.t1	ENSP00000421566.1
g10990.t1	ENSP00000316632.3
g10991.t1	ENSP00000219689.7
g10992.t1	ENSP00000406030.3
g10993.t1	ENSP00000314004.2
g10994.t1	ENSP00000408382.3
g10995.t1	ENSP00000263239.2
g10996.t1	ENSP00000481741.1
g10997.t1	ENSP00000452086.1
g10999.t1	ENSP00000454128.2
g11.t1	ENSP00000333192.4
g11001.t1	ENSP00000483484.1
g11002.t1	ENSP00000272317.6
g11003.t1	ENSP00000402457.2
g11004.t1	ENSP00000344460.5
g11005.t1	ENSP00000330289.5
g11009.t1	ENSP00000430251.1
g11010.t1	ENSP00000421811.1
g11012.t1	ENSP00000356563.4
g11013.t1	ENSP00000370128.5
g11014.t1	ENSP00000274400.5
g11017.t1	ENSP00000514657.1
g11019.t1	ENSP00000400932.1
g11020.t1	ENSP00000346403.3
g11021.t1	ENSP00000399204.2
g11022.t1	ENSP00000386337.3
g11023.t1	ENSP00000324527.5
g11024.t1	ENSP00000373883.5
g11025.t1	ENSP00000038176.3
g11026.t1	ENSP00000429168.1
g11030.t1	ENSP00000206020.3
g11031.t1	ENSP00000355605.2
g11032.t1	ENSP00000270066.6
g11033.t1	ENSP00000359290.1
g11034.t1	ENSP00000257290.5
g11035.t1	ENSP00000406220.2
g11036.t1	ENSP00000378755.2
g11038.t1	ENSP00000384651.3
g11041.t1	ENSP00000406220.2
g11044.t1	ENSP00000393198.2
g11046.t1	ENSP00000313350.3
g11047.t1	ENSP00000354917.2
g11048.t1	ENSP00000347781.4
g1105.t1	ENSP00000320006.7
g11050.t1	ENSP00000434400.1
g11052.t1	ENSP00000363753.3
g11053.t1	ENSP00000310873.4
g11054.t1	ENSP00000514114.1
g11057.t1	ENSP00000464351.1
g11059.t1	ENSP00000360525.3
g11060.t1	ENSP00000483453.1
g11061.t1	ENSP00000462670.1
g11062.t1	ENSP00000485089.1
g11063.t1	ENSP00000454084.1
g11064.t1	ENSP00000373689.3
g11065.t1	ENSP00000452623.1
g11067.t1	ENSP00000463493.2
g11068.t1	ENSP00000337850.2
g11069.t1	ENSP00000336127.4
g11070.t1	ENSP00000272298.7
g11071.t1	ENSP00000384886.1
g11072.t1	ENSP00000496044.1
g11073.t1	ENSP00000349142.7
