Gene name	NCBI gene (formerly Entrezgene) ID
RNA5-8SN5	124907578
RNA5-8SN5	124907579
RNA5-8SN5	124907580
RNA5-8SN5	124907581
RNA5-8SN5	124907584
RNA5-8SN5	124907585
RNA5-8SN5	124907586
RNA5-8SN5	124907587
RNA5-8SN5	124907588
RNA5-8SN5	124907589
RNA5-8SN5	124907590
RNA5-8SN5	124907591
RNA5-8SN5	124907592
RNA5-8SN5	124907593
RNA5-8SN5	124907594
RNA5-8SN5	124907595
RNA5-8SN5	124907596
RNA5-8SN5	124907597
RNA5-8SN5	124907598
RNA5-8SN5	124907600
RNA5-8SN5	124907611
RNA5-8SN5	124907622
RNA5-8SN5	124907633
RNA5-8SN5	124907644
RNA5-8SN5	124907655
RNA5-8SN5	124907662
RNA5-8SN5	124907673
RNA5-8SN5	124907684
RNA5-8SN5	124907694
RNA5-8SN5	124907705
RNA5-8SN5	124907709
RNA5-8SN5	124907710
RNA5-8SN5	124907711
RNA5-8SN5	124907712
RNA5-8SN5	124907713
RNA5-8SN5	124907714
RNA5-8SN5	124907715
RNA5-8SN5	124907716
RNA5-8SN5	124907717
RNA5-8SN5	124907718
RNA5-8SN5	124907719
RNA5-8SN5	124907720
RNA5-8SN5	124907721
RNA5-8SN5	124908237
RNA5-8SN5	124908238
RNA5-8SN5	124908239
RNA5-8SN5	124908240
RNA5-8SN5	124908241
RNA5-8SN5	124908242
RNA5-8SN5	124908243
RNA5-8SN5	124908244
RNA5-8SN5	124908245
RNA5-8SN5	124908246
RNA5-8SN5	124908247
RNA5-8SN5	124908248
RNA5-8SN5	124908249
RNA5-8SN5	124908254
RNA5-8SN5	124908257
RNA5-8SN5	124908268
RNA5-8SN5	124908278
RNA5-8SN5	124908289
RNA5-8SN5	124908300
RNA5-8SN5	124908310
RNA5-8SN5	124908316
RNA5-8SN5	124908327
RNA5-8SN5	124908336
RNA5-8SN5	124908347
RNA5-8SN5	124908358
RNA5-8SN5	124908368
RNA5-8SN5	124908369
RNA5-8SN5	124908370
RNA5-8SN5	124908371
RNA5-8SN5	124908372
RNA5-8SN5	124908373
RNA5-8SN5	124908374
RNA5-8SN5	124908375
RNA5-8SN5	124908376
RNA5-8SN5	124908377
RNA5-8SN5	124908378
RNA5-8SN5	124908379
RNA5-8SN5	124908380
RNA5-8SN5	124908381
RNA5-8SN5	124908382
RNA5-8SN5	124908383
RNA5-8SN5	124908384
RNA5-8SN5	124908385
RNA5-8SN5	124908386
RNA5-8SN5	124908387
RNA5-8SN5	124908388
RNA5-8SN5	124908389
RNA5-8SN5	124908390
RNA5-8SN5	124908391
RNA5-8SN5	124908392
RNA5-8SN5	124908393
RNA5-8SN5	124908474
RNA5-8SN5	124908494
RNA5-8SN5	124908504
RNA5-8SN5	124908512
RNA5-8SN5	124908513
RNA5-8SN5	124908514
RNA5-8SN5	124908515
RNA5-8SN5	124908516
RNA5-8SN5	124908517
RNA5-8SN5	124908518
RNA5-8SN5	124908519
RNA5-8SN5	124908520
RNA5-8SN5	124908521
RNA5-8SN5	124908522
RNA5-8SN5	124908523
RNA5-8SN5	124908524
RNA5-8SN5	124908525
RNA5-8SN5	124908526
RNA5-8SN5	124908527
5_8S_rRNA	124900510
5_8S_rRNA	124907114
5_8S_rRNA	124907115
5_8S_rRNA	124907116
5_8S_rRNA	124907117
5_8S_rRNA	124907118
5_8S_rRNA	124907119
5_8S_rRNA	124907120
5_8S_rRNA	124907121
5_8S_rRNA	124907122
5_8S_rRNA	124907123
5_8S_rRNA	124907124
5_8S_rRNA	124907125
5_8S_rRNA	124907126
5_8S_rRNA	124907127
5_8S_rRNA	124907128
5_8S_rRNA	124907129
5_8S_rRNA	124907130
5_8S_rRNA	124907131
5_8S_rRNA	124907132
5_8S_rRNA	124907133
5_8S_rRNA	124907134
5_8S_rRNA	124907135
5_8S_rRNA	124907136
5_8S_rRNA	124907137
5_8S_rRNA	124907138
5_8S_rRNA	124907139
5_8S_rRNA	124907140
5_8S_rRNA	124907141
5_8S_rRNA	124907142
5_8S_rRNA	124907143
5_8S_rRNA	124907144
5_8S_rRNA	124907145
5_8S_rRNA	124907146
5_8S_rRNA	124907147
5_8S_rRNA	124907148
5_8S_rRNA	124907149
5_8S_rRNA	124907150
5_8S_rRNA	124907151
5_8S_rRNA	124907152
5_8S_rRNA	124907153
5_8S_rRNA	124907154
5_8S_rRNA	124907155
5_8S_rRNA	124907160
5_8S_rRNA	124907172
5_8S_rRNA	124907183
5_8S_rRNA	124907194
5_8S_rRNA	124907205
5_8S_rRNA	124907216
5_8S_rRNA	124907227
5_8S_rRNA	124907238
5_8S_rRNA	124907248
5_8S_rRNA	124907258
5_8S_rRNA	124907269
5_8S_rRNA	124907280
5_8S_rRNA	124907291
5_8S_rRNA	124907302
5_8S_rRNA	124907313
5_8S_rRNA	124907324
5_8S_rRNA	124907327
5_8S_rRNA	124907328
5_8S_rRNA	124907329
5_8S_rRNA	124907330
5_8S_rRNA	124907331
5_8S_rRNA	124907332
5_8S_rRNA	124907333
5_8S_rRNA	124907334
5_8S_rRNA	124907335
5_8S_rRNA	124907336
5_8S_rRNA	124907337
5_8S_rRNA	124907338
5_8S_rRNA	124907339
5_8S_rRNA	124907340
5_8S_rRNA	124907341
5_8S_rRNA	124907342
5_8S_rRNA	124907343
5_8S_rRNA	124907439
5_8S_rRNA	124907440
5_8S_rRNA	124907450
5_8S_rRNA	124907458
5_8S_rRNA	124907467
5_8S_rRNA	124907475
5_8S_rRNA	124907476
5_8S_rRNA	124907477
5_8S_rRNA	124907478
5_8S_rRNA	124907479
5_8S_rRNA	124907480
5_8S_rRNA	124907481
5_8S_rRNA	124907482
5_8S_rRNA	124907483
5_8S_rRNA	124907484
5_8S_rRNA	124907572
5_8S_rRNA	124907573
5_8S_rRNA	124907574
5_8S_rRNA	124907575
5_8S_rRNA	124907576
5_8S_rRNA	124907577
5_8S_rRNA	124907578
5_8S_rRNA	124907579
5_8S_rRNA	124907580
5_8S_rRNA	124907581
5_8S_rRNA	124907584
5_8S_rRNA	124907585
5_8S_rRNA	124907586
5_8S_rRNA	124907587
5_8S_rRNA	124907588
5_8S_rRNA	124907589
5_8S_rRNA	124907590
5_8S_rRNA	124907591
5_8S_rRNA	124907592
5_8S_rRNA	124907593
5_8S_rRNA	124907594
5_8S_rRNA	124907595
5_8S_rRNA	124907596
5_8S_rRNA	124907597
5_8S_rRNA	124907598
5_8S_rRNA	124907600
5_8S_rRNA	124907611
5_8S_rRNA	124907622
5_8S_rRNA	124907633
5_8S_rRNA	124907644
5_8S_rRNA	124907655
5_8S_rRNA	124907662
5_8S_rRNA	124907673
5_8S_rRNA	124907684
5_8S_rRNA	124907694
5_8S_rRNA	124907705
5_8S_rRNA	124907709
5_8S_rRNA	124907710
5_8S_rRNA	124907711
5_8S_rRNA	124907712
5_8S_rRNA	124907713
5_8S_rRNA	124907714
5_8S_rRNA	124907715
5_8S_rRNA	124907716
5_8S_rRNA	124907717
5_8S_rRNA	124907718
5_8S_rRNA	124907719
5_8S_rRNA	124907720
5_8S_rRNA	124907721
5_8S_rRNA	124908237
5_8S_rRNA	124908238
5_8S_rRNA	124908239
5_8S_rRNA	124908240
5_8S_rRNA	124908241
5_8S_rRNA	124908242
5_8S_rRNA	124908243
5_8S_rRNA	124908244
5_8S_rRNA	124908245
5_8S_rRNA	124908246
5_8S_rRNA	124908247
5_8S_rRNA	124908248
5_8S_rRNA	124908249
5_8S_rRNA	124908254
5_8S_rRNA	124908257
5_8S_rRNA	124908268
5_8S_rRNA	124908278
5_8S_rRNA	124908289
5_8S_rRNA	124908300
5_8S_rRNA	124908310
5_8S_rRNA	124908316
5_8S_rRNA	124908327
5_8S_rRNA	124908336
5_8S_rRNA	124908347
5_8S_rRNA	124908358
5_8S_rRNA	124908368
5_8S_rRNA	124908369
5_8S_rRNA	124908370
5_8S_rRNA	124908371
5_8S_rRNA	124908372
5_8S_rRNA	124908373
5_8S_rRNA	124908374
5_8S_rRNA	124908375
5_8S_rRNA	124908376
5_8S_rRNA	124908377
5_8S_rRNA	124908378
5_8S_rRNA	124908379
5_8S_rRNA	124908380
5_8S_rRNA	124908381
5_8S_rRNA	124908382
5_8S_rRNA	124908383
5_8S_rRNA	124908384
5_8S_rRNA	124908385
5_8S_rRNA	124908386
5_8S_rRNA	124908387
5_8S_rRNA	124908388
5_8S_rRNA	124908389
5_8S_rRNA	124908390
5_8S_rRNA	124908391
5_8S_rRNA	124908392
5_8S_rRNA	124908393
5_8S_rRNA	124908474
5_8S_rRNA	124908494
5_8S_rRNA	124908504
5_8S_rRNA	124908512
5_8S_rRNA	124908513
5_8S_rRNA	124908514
5_8S_rRNA	124908515
5_8S_rRNA	124908516
5_8S_rRNA	124908517
5_8S_rRNA	124908518
5_8S_rRNA	124908519
5_8S_rRNA	124908520
5_8S_rRNA	124908521
5_8S_rRNA	124908522
5_8S_rRNA	124908523
5_8S_rRNA	124908524
5_8S_rRNA	124908525
5_8S_rRNA	124908526
5_8S_rRNA	124908527
IMPDH1P5	
DLG5	9231
KIR2DS1	3806
ZNF43	7594
DHX36	170506
ZNF100	163227
CCNYL6	641367
BRI3BPP1	641367
VN1R84P	
PIWIL1	9271
MTDHP4	
KRT18P40	
ZNF430	80264
ARHGEF26	26084
ZNF85	7639
KRTAP9-9	81870
KRTAP9-2	83899
KRTAP9-4	85280
KRTAP9-3	83900
KRTAP9-10P	
	100505724
	100507608
KRTAP29-1	100533177
BNIP3P24	
ZNF66	7617
ARHGEF26-AS1	100507524
TPO	7173
PRODH	5625
FAM157A	
	100288966
RNU6-821P	
U6	124904108
U6	124904706
U6	124906683
ANKRD18DP	348840
DNAH10	196385
U6	124905313
SUDS3P1	
PROP1	5626
DLGAP2	9228
KRTAP9-6	100507608
KRTAP9-7	100505724
	401442
KRTAP9-12P	
ERICH1	157697
KRTAP9-11P	
RPS17	6218
CTDP1-DT	284241
FTCD	10841
CTDP1	9150
DLG5-AS1	
CCDC92	80212
RN7SL284P	
RNU6-1266P	
	389831
	124900580
DNM1P38	
CRIM1	51232
RPL21P36	
CRIM1-DT	
CPEB1	64506
RNU6-222P	
FTCD-AS1	100861507
LSS	4047
GARRE1	9710
PRB1	5542
PRB1	653247
SKA1	220134
DSEL-AS1	643542
DSEL	92126
LSM14A	26065
GOLGA8DP	100132979
CYFIP1	23191
SEPTIN9-DT	105371907
SEPTIN9	10801
ABCB10P1	
TUBGCP5	114791
MAPK4	5596
ZNF965P	
RNA5SP458	
GXYLT1P1	
CYP4F34P	
CNN2P12	
SNX18P26	
LINC00328-2P	
ANKRD20A9P	
RNU6-55P	
SPATC1L	84221
GOLGA6L1	283767
GOLGA6L1	124900581
GOLGA6L1	124905482
GOLGA6L1	124907501
APOBEC3B-AS1	100874530
MPHOSPH10P5	
APOBEC3A	200315
APOBEC3A	100913187
CNTNAP2	26047
	105374682
	107987420
SLC45A2	51151
SMN2	6606
SMN2	6607
RXFP3	51289
	286083
ADAMTS12	81792
DLGAP2-AS1	100507435
ELMO2P1	
LINC02549	101928280
AP2A2	161
U3	124901859
ABCB11	8647
G6PC2	57818
AADACL2	344752
SPC25	57405
METRNL	284207
LINC02066	
AADACL2-AS1	
GOLGA6L9	440295
	102725023
GART	2618
DECR2	26063
TBCD	6904
NOSTRIN	115677
CDH12P2	
RNU6-1025P	
MUC6	4588
GTF2H2	2966
GTF2H2	728340
UBE2Q2P6	
GOLGA6L10	647042
FRG1-DT	728339
RPS5P3	
DNAJC28	54943
GOLGA6L10	643707
GOLGA6L10	102724117
LINC01596	105377617
RNU1-51P	
IFNGR2	3460
GNG5P1	
	101929297
LRRC56	115399
CSPG4P10	
GOLGA6L17P	
SLC25A51P1	
ADH5P4	
GOLGA2P10	
KRT20	54474
PHRF1	57661
GOLGA6L22	440243
RAB11FIP3	9727
KRTAP3-1	83896
KRTAP5-6	440023
HERC2P7	
KRTAP3-2	83897
KRTAP5-1	387264
SPATA31E3P	
KRTAP5-4	387267
MPHOSPH10P9	
ADAMTS7P1	
KRTAP4-9	100132386
TMEM50B	757
GOLGA8EP	390535
KRTAP2-4	85294
B3GNTL1	146712
B3GNTL1	124907948
KRTAP5-5	439915
KRT23	25984
FAM99A	387742
LINC02708	
KRTAP5-AS1	338651
HERC2P2	
DUSP8	1850
KIF26B	55083
UBE2Q2P2	
FAM99B	100132464
IFITM10	402778
UBE2Q2P2	100134869
KRTAP5-3	387266
KRTAP5-2	440021
GOLGA8IP	
GOLGA8IP	283796
SDHAP2	
MUC20-OT1	
LINC00235	
CAPN15	6650
KRT40	125115
U1	
	124903857
	124905556
	124905693
	124905699
PAXBP1	94104
U1	124904613
U1	124905321
U1	124905573
U1	124905574
U1	124905808
U1	124905809
KRTAP1-1	81851
	728279
C21orf62	56245
KRTAP4-11	653240
KRTAP2-5P	
KRTAP1-3	81850
KRTAP4-16	85354
KRT12	3859
C21orf62-AS1	
KCNIP4	80333
KRTAP1-5	83895
	105374516
KRT39	390792
KRTAP3-4P	
KRTAP2-1	81872
MEGF11	84465
RPL4P5	
KRTAP3-3	85293
KRTAP2-3	730755
KRTAP4-12	83755
KRTAP1-4	728255
	100996750
KRTAP4-8	728224
RPS6P22	
LRIG3-DT	
ABR	29
SERF1B	8293
SERF1B	728492
DIS3L-AS1	
KIR2DL5A	124900572
LMNTD2	256329
GOLGA8F	100132565
CYP2D8P	
NAIP	4671
NDUFA6-DT	
OLA1P1	
NDUFA6	4700
MIR210HG	100506211
TNFRSF14	8764
HERC2P11	
MUC20	200958
SMDT1	91689
RNH1	6050
GOLGA8G	283768
CYP2D6	1565
LINC00824	
MUC4	4585
	101929829
MREGP1	
MCCC2	64087
TCF20	6942
SINHCAF	58516
ABCB10P4	
KCNQ2-AS1	
GOLGA6L25	100132202
KCNQ2	3785
HERC2	8924
BDP1	55814
FLJ13224	79857
CYP2D7	
TTC34	100287898
MMEL1	79258
ICE2P1	
DRD4	1815
LINC01060	401164
IFITM4P	
ZNF90P2	
OR11A1	26531
DEAF1	10522
OR2B3	442184
HLA-G	3135
RPL7AP27	
TIMM22	29928
NXN	64359
IRF7	3665
OR2AS2P	
OR2T6	254879
OR2T2	401992
OR2J3	442186
OR2T4	127074
RPS17P1	
OR5V1	81696
OR2T7	81458
OR2T1	26696
OR2T3	343173
MICD	
OR2G1P	
LILRA4	23547
OR14J1	442191
WASF5P	
OR2T5	401993
SMN1	6606
PTMAP1	
LINC03003	101929006
LY6G6F	259215
NOP56P1	
LINC02569	
TMEM183AP1	
LAIR1	3903
PSORS1C1	170679
OR2J4P	
	124901296
HCG18	414777
OR8U9	504190
OR8J2	81169
FAM8A2P	
NAA50P1	
OR8U8	504189
OR8L1P	
HLA-T	
OR5T3	390154
OR2W1	26692
CLK2	1196
OR5T2	219464
PPP1R11	6992
LINC02197	
OR8K2P	
OR8I1P	
OR8K3	219473
OR8H1	219469
SERF1A	8293
HCG14	414760
MAS1LP1	
HCG4	
SUMO2P1	
OR5T1	390155
MDC1-AS1	106478956
MMEL1-AS1	
POLR1HASP	80862
RPL5P29	
PANK4	55229
OR8K1	390157
OR8J1	219477
DDR1-DT	
LINC01623	
NEU1	4758
HRAS	3265
OR2U1P	
OR2N1P	
ZNF311	282890
RPL7P4	
TRIM31-AS1	104533120
OR2AD1P	
PMCHL2	5370
MAS1L	116511
RPL7AP7	
LTB	4050
OR2H2	7932
LINC00533	387055
OR2U2P	
LINC01556	
ATAT1	79969
LINC01015	100507362
APOM	55937
KIR3DX1	
ZFP57	346171
LILRB2	10288
OR2H4P	
TRIM26BP	
MUC22	100507679
RPS9	6203
RPL13AP	
RPSAP2	
GNL1	2794
PPP1R10	5514
PKLR	5313
TRIM10	10107
TMPOP1	
PSMB9	5698
VSTM1	284415
MBOAT7	79143
SNTB2	6645
LMNTD2-AS1	692247
PLCH2	9651
UTP4	84916
RASSF7	8045
C4B_2	100293534
OR2J1	442185
RPL13P	
OR2I1P	442197
TSBP1-AS1	414764
MTX1P1	
SCAMP3	10067
HLA-B	3106
GABBR1	2550
LAIR2	3904
CDHR5	53841
MRPS18B	28973
HES5	388585
LILRB4	11006
TNFRSF14-AS1	
HCG17	414778
NLRP2	55655
PRXL2B	127281
CTSO	1519
GBA1	2629
HLA-W	
HCG4B	
HCG27	253018
UGT2A3	79799
NRM	11270
CNOT3	4849
PSMB1	5689
ASIC5	51802
FAM120B	84498
TDO2	6999
NDUFA3	4696
UGT2B27P	101929773
UGT2B29P	
UGT2B10	7365
LY6G5C	80741
LILRA6	79168
UGT2B15	7366
MT2P1	
HSPA1A	3303
TMPRSS11E	28983
MAFIP	727764
LENG1	79165
OR2P1P	
UBDP1	
OR2H5P	
HLA-F-AS1	285830
	9437
HSPA1L	3305
ABHD16A	7920
GPSM3	63940
HNRNPA1P2	
STK19	8859
RNA5-8SN4	109864274
RNA5-8SN4	124900510
RNA5-8SN4	124907114
RNA5-8SN4	124907115
RNA5-8SN4	124907116
RNA5-8SN4	124907117
RNA5-8SN4	124907118
RNA5-8SN4	124907119
RNA5-8SN4	124907120
RNA5-8SN4	124907121
RNA5-8SN4	124907122
RNA5-8SN4	124907123
RNA5-8SN4	124907124
RNA5-8SN4	124907125
RNA5-8SN4	124907126
RNA5-8SN4	124907127
RNA5-8SN4	124907128
RNA5-8SN4	124907129
RNA5-8SN4	124907130
RNA5-8SN4	124907131
RNA5-8SN4	124907132
RNA5-8SN4	124907133
RNA5-8SN4	124907134
RNA5-8SN4	124907135
RNA5-8SN4	124907136
RNA5-8SN4	124907137
RNA5-8SN4	124907138
RNA5-8SN4	124907139
RNA5-8SN4	124907140
RNA5-8SN4	124907141
RNA5-8SN4	124907142
RNA5-8SN4	124907143
RNA5-8SN4	124907144
RNA5-8SN4	124907145
RNA5-8SN4	124907146
RNA5-8SN4	124907147
RNA5-8SN4	124907148
RNA5-8SN4	124907149
RNA5-8SN4	124907150
RNA5-8SN4	124907151
RNA5-8SN4	124907152
RNA5-8SN4	124907153
RNA5-8SN4	124907154
RNA5-8SN4	124907155
RNA5-8SN4	124907160
RNA5-8SN4	124907172
RNA5-8SN4	124907183
RNA5-8SN4	124907194
RNA5-8SN4	124907205
RNA5-8SN4	124907216
RNA5-8SN4	124907227
RNA5-8SN4	124907238
RNA5-8SN4	124907248
RNA5-8SN4	124907258
RNA5-8SN4	124907269
RNA5-8SN4	124907280
RNA5-8SN4	124907291
RNA5-8SN4	124907302
RNA5-8SN4	124907313
RNA5-8SN4	124907324
RNA5-8SN4	124907327
RNA5-8SN4	124907328
RNA5-8SN4	124907329
RNA5-8SN4	124907330
RNA5-8SN4	124907331
RNA5-8SN4	124907332
RNA5-8SN4	124907333
RNA5-8SN4	124907334
RNA5-8SN4	124907335
RNA5-8SN4	124907336
RNA5-8SN4	124907337
RNA5-8SN4	124907338
RNA5-8SN4	124907339
RNA5-8SN4	124907340
RNA5-8SN4	124907341
RNA5-8SN4	124907342
RNA5-8SN4	124907343
RNA5-8SN4	124907439
RNA5-8SN4	124907440
RNA5-8SN4	124907450
RNA5-8SN4	124907458
RNA5-8SN4	124907467
RNA5-8SN4	124907475
RNA5-8SN4	124907476
RNA5-8SN4	124907477
RNA5-8SN4	124907478
RNA5-8SN4	124907479
RNA5-8SN4	124907480
RNA5-8SN4	124907481
RNA5-8SN4	124907482
RNA5-8SN4	124907483
RNA5-8SN4	124907484
RNA5-8SN4	124907572
RNA5-8SN4	124907573
RNA5-8SN4	124907574
RNA5-8SN4	124907575
RNA5-8SN4	124907576
RNA5-8SN4	124907577
RNA5-8SN4	124907578
RNA5-8SN4	124907579
RNA5-8SN4	124907580
RNA5-8SN4	124907581
RNA5-8SN4	124907584
RNA5-8SN4	124907585
RNA5-8SN4	124907586
RNA5-8SN4	124907587
RNA5-8SN4	124907588
RNA5-8SN4	124907589
RNA5-8SN4	124907590
RNA5-8SN4	124907591
RNA5-8SN4	124907592
RNA5-8SN4	124907593
RNA5-8SN4	124907594
RNA5-8SN4	124907595
RNA5-8SN4	124907596
RNA5-8SN4	124907597
RNA5-8SN4	124907598
RNA5-8SN4	124907600
RNA5-8SN4	124907611
RNA5-8SN4	124907622
RNA5-8SN4	124907633
RNA5-8SN4	124907644
RNA5-8SN4	124907655
RNA5-8SN4	124907662
RNA5-8SN4	124907673
RNA5-8SN4	124907684
RNA5-8SN4	124907694
RNA5-8SN4	124907705
RNA5-8SN4	124907709
RNA5-8SN4	124907710
RNA5-8SN4	124907711
RNA5-8SN4	124907712
RNA5-8SN4	124907713
RNA5-8SN4	124907714
RNA5-8SN4	124907715
RNA5-8SN4	124907716
RNA5-8SN4	124907717
RNA5-8SN4	124907718
RNA5-8SN4	124907719
RNA5-8SN4	124907720
RNA5-8SN4	124907721
RNA5-8SN4	124908237
RNA5-8SN4	124908238
RNA5-8SN4	124908239
RNA5-8SN4	124908240
RNA5-8SN4	124908241
RNA5-8SN4	124908242
RNA5-8SN4	124908243
RNA5-8SN4	124908244
RNA5-8SN4	124908245
RNA5-8SN4	124908246
RNA5-8SN4	124908247
RNA5-8SN4	124908248
RNA5-8SN4	124908249
RNA5-8SN4	124908254
RNA5-8SN4	124908257
RNA5-8SN4	124908268
RNA5-8SN4	124908278
RNA5-8SN4	124908289
RNA5-8SN4	124908300
RNA5-8SN4	124908310
RNA5-8SN4	124908316
RNA5-8SN4	124908327
RNA5-8SN4	124908336
RNA5-8SN4	124908347
RNA5-8SN4	124908358
RNA5-8SN4	124908368
RNA5-8SN4	124908369
RNA5-8SN4	124908370
RNA5-8SN4	124908371
RNA5-8SN4	124908372
RNA5-8SN4	124908373
RNA5-8SN4	124908374
RNA5-8SN4	124908375
RNA5-8SN4	124908376
RNA5-8SN4	124908377
RNA5-8SN4	124908378
RNA5-8SN4	124908379
RNA5-8SN4	124908380
RNA5-8SN4	124908381
RNA5-8SN4	124908382
RNA5-8SN4	124908383
RNA5-8SN4	124908384
RNA5-8SN4	124908385
RNA5-8SN4	124908386
RNA5-8SN4	124908387
RNA5-8SN4	124908388
RNA5-8SN4	124908389
RNA5-8SN4	124908390
RNA5-8SN4	124908391
RNA5-8SN4	124908392
RNA5-8SN4	124908393
RNA5-8SN4	124908474
RNA5-8SN4	124908494
RNA5-8SN4	124908504
RNA5-8SN4	124908512
RNA5-8SN4	124908513
RNA5-8SN4	124908514
RNA5-8SN4	124908515
RNA5-8SN4	124908516
RNA5-8SN4	124908517
RNA5-8SN4	124908518
RNA5-8SN4	124908519
RNA5-8SN4	124908520
RNA5-8SN4	124908521
RNA5-8SN4	124908522
RNA5-8SN4	124908523
RNA5-8SN4	124908524
RNA5-8SN4	124908525
RNA5-8SN4	124908526
RNA5-8SN4	124908527
LILRB1	10859
YTHDC1	91746
SCT	6343
MAD2L1-DT	
PTDSS2	81490
TMC4	147798
DLL1	28514
LILRA5	353514
MICC	
LSM2	57819
LINC01624	401289
RDH13	112724
	285804
TSEN34	79042
HCN3	57657
TRIM27	5987
ZBED9	114821
LILRA2	11027
OR12D2	26529
